Project,Driver,# Drivers,# APIs,Iteration,Coverage,Total Cov,Crash,Unique Crash
libvpx,driver3,20,6,1,0.08%,1.62%,1343,2
libtiff,driver2,20,6,1,2.27%,4.86%,11,3
libtiff,driver1,20,6,1,2.26%,4.86%,5,2
libtiff,driver4,20,6,1,0.04%,4.86%,0,0
libtiff,driver13,20,6,1,0.11%,4.86%,37,2
libtiff,driver6,20,6,1,2.05%,4.86%,0,0
libtiff,driver17,20,6,1,0.03%,4.86%,0,0
libtiff,driver16,20,6,1,0.00%,4.86%,32,2
libtiff,driver8,20,6,1,2.56%,4.86%,774,8
libtiff,driver14,20,6,1,0.03%,4.86%,0,0
libtiff,driver15,20,6,1,2.34%,4.86%,21,2
libtiff,driver19,20,6,1,0.08%,4.86%,0,0
libtiff,driver10,20,6,1,2.36%,4.86%,0,0
libtiff,driver12,20,6,1,2.09%,4.86%,1,2
libtiff,driver0,20,6,1,0.07%,4.86%,11,1
libtiff,driver9,20,6,1,0.08%,4.86%,0,0
libtiff,driver18,20,6,1,0.08%,4.86%,0,0
libtiff,driver7,20,6,1,3.91%,4.86%,0,0
libtiff,driver5,20,6,1,0.09%,4.86%,0,0
libtiff,driver11,20,6,1,0.05%,4.86%,0,0
libtiff,driver3,20,6,1,0.03%,4.86%,0,0
cpu_features,driver2,20,12,1,21.36%,39.14%,0,0
cpu_features,driver1,20,12,1,38.06%,39.14%,0,0
cpu_features,driver4,20,12,1,37.70%,39.14%,0,0
cpu_features,driver13,20,12,1,23.52%,39.14%,0,0
cpu_features,driver6,20,12,1,38.42%,39.14%,0,0
cpu_features,driver17,20,12,1,38.60%,39.14%,0,0
cpu_features,driver16,20,12,1,37.70%,39.14%,0,0
cpu_features,driver8,20,12,1,21.72%,39.14%,0,0
cpu_features,driver14,20,12,1,23.52%,39.14%,0,0
cpu_features,driver15,20,12,1,38.60%,39.14%,0,0
cpu_features,driver19,20,12,1,37.52%,39.14%,0,0
cpu_features,driver10,20,12,1,37.70%,39.14%,0,0
cpu_features,driver12,20,12,1,23.52%,39.14%,0,0
cpu_features,driver0,20,12,1,22.80%,39.14%,0,0
cpu_features,driver9,20,12,1,21.36%,39.14%,0,0
cpu_features,driver18,20,12,1,37.34%,39.14%,0,0
cpu_features,driver7,20,12,1,38.24%,39.14%,0,0
cpu_features,driver5,20,12,1,37.52%,39.14%,0,0
cpu_features,driver11,20,12,1,38.78%,39.14%,0,0
cpu_features,driver3,20,12,1,23.52%,39.14%,0,0
minijail,driver1,20,12,1,0.00%,1.94%,1192,2
minijail,driver0,20,12,1,1.94%,1.94%,1390,2
pthreadpool,driver2,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver1,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver4,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver13,20,12,1,0.00%,0.00%,13,2
pthreadpool,driver6,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver17,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver16,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver8,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver14,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver15,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver19,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver10,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver12,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver0,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver9,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver18,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver7,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver5,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver11,20,12,1,0.00%,0.00%,20,2
pthreadpool,driver3,20,12,1,0.00%,0.00%,20,2
libhtp,driver2,20,12,1,0.00%,3.31%,699,4
libhtp,driver1,20,12,1,0.00%,3.31%,28,2
libhtp,driver4,20,12,1,0.00%,3.31%,270,4
libhtp,driver13,20,12,1,0.00%,3.31%,20,2
libhtp,driver6,20,12,1,0.00%,3.31%,21,2
libhtp,driver17,20,12,1,0.00%,3.31%,1082,2
libhtp,driver16,20,12,1,0.00%,3.31%,90,2
libhtp,driver8,20,12,1,0.00%,3.31%,20,2
libhtp,driver14,20,12,1,0.00%,3.31%,698,4
libhtp,driver15,20,12,1,0.00%,3.31%,1316,2
libhtp,driver19,20,12,1,0.00%,3.31%,22,2
libhtp,driver10,20,12,1,1.76%,3.31%,0,0
libhtp,driver12,20,12,1,0.00%,3.31%,752,2
libhtp,driver0,20,12,1,0.00%,3.31%,1391,2
libhtp,driver9,20,12,1,0.00%,3.31%,20,2
libhtp,driver18,20,12,1,0.00%,3.31%,25,2
libhtp,driver7,20,12,1,0.00%,3.31%,42,2
libhtp,driver5,20,12,1,0.00%,3.31%,263,3
libhtp,driver11,20,12,1,1.78%,3.31%,0,0
libhtp,driver3,20,12,1,2.75%,3.31%,0,0
libvpx,driver2,20,12,1,0.09%,1.69%,1,0
libvpx,driver1,20,12,1,0.08%,1.69%,0,0
libvpx,driver4,20,12,1,0.00%,1.69%,20,0
libvpx,driver13,20,12,1,1.23%,1.69%,0,0
libvpx,driver6,20,12,1,0.00%,1.69%,39,2
libvpx,driver17,20,12,1,0.10%,1.69%,1,0
libvpx,driver16,20,12,1,0.15%,1.69%,30,2
libvpx,driver8,20,12,1,0.29%,1.69%,0,0
libvpx,driver14,20,12,1,0.08%,1.69%,0,0
libvpx,driver15,20,12,1,0.00%,1.69%,30,0
libvpx,driver19,20,12,1,0.31%,1.69%,1352,6
libvpx,driver10,20,12,1,0.10%,1.69%,0,0
libvpx,driver12,20,12,1,0.10%,1.69%,12,2
libvpx,driver0,20,12,1,0.11%,1.69%,0,0
libvpx,driver9,20,12,1,0.00%,1.69%,1,0
libvpx,driver18,20,12,1,0.10%,1.69%,3,0
libvpx,driver7,20,12,1,0.11%,1.69%,0,0
libvpx,driver5,20,12,1,0.00%,1.69%,0,0
libvpx,driver11,20,12,1,0.17%,1.69%,0,0
libvpx,driver3,20,12,1,0.06%,1.69%,1,0
libtiff,driver2,20,12,1,0.12%,5.96%,1,2
libtiff,driver1,20,12,1,2.15%,5.96%,0,0
libtiff,driver4,20,12,1,2.86%,5.96%,532,12
libtiff,driver13,20,12,1,0.00%,5.96%,775,2
libtiff,driver6,20,12,1,0.16%,5.96%,34,3
libtiff,driver17,20,12,1,2.09%,5.96%,0,0
libtiff,driver16,20,12,1,1.09%,5.96%,809,2
libtiff,driver8,20,12,1,2.14%,5.96%,18,2
libtiff,driver14,20,12,1,0.09%,5.96%,1,2
libtiff,driver15,20,12,1,2.71%,5.96%,14,2
libtiff,driver19,20,12,1,0.11%,5.96%,0,0
libtiff,driver10,20,12,1,0.08%,5.96%,0,0
libtiff,driver12,20,12,1,1.13%,5.96%,403,2
libtiff,driver0,20,12,1,0.12%,5.96%,14,2
libtiff,driver9,20,12,1,3.91%,5.96%,0,0
libtiff,driver18,20,12,1,2.92%,5.96%,9,2
libtiff,driver7,20,12,1,0.00%,5.96%,123,2
libtiff,driver5,20,12,1,3.58%,5.96%,0,0
libtiff,driver11,20,12,1,3.04%,5.96%,3,1
libtiff,driver3,20,12,1,2.24%,5.96%,0,0
